Linear Accel X,Linear Accel Y,Linear Accel Z
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.01,0.00,0.19
0.00,0.02,0.16
0.00,0.00,0.21
0.00,-0.01,0.21
0.02,-0.01,0.26
0.00,0.00,0.21
0.02,0.01,0.24
0.00,-0.02,0.22
0.00,0.00,0.28
0.01,0.01,0.23
0.02,0.01,0.30
0.01,-0.01,0.12
0.01,0.00,0.18
0.00,0.00,0.24
0.01,0.00,0.21
0.00,0.02,0.14
0.02,0.01,0.24
0.00,-0.02,0.21
0.00,0.01,0.25
0.01,-0.01,0.23
0.02,0.00,0.28
0.00,-0.01,0.22
0.01,0.00,0.26
0.00,-0.01,0.18
0.02,0.02,0.18
0.01,0.01,0.13
0.00,0.01,0.16
0.00,0.02,0.17
0.00,0.01,0.20
0.00,-0.04,0.20
0.00,0.00,0.24
0.01,0.00,0.23
0.00,-0.01,0.22
0.03,-0.01,0.25
0.01,0.00,0.23
0.01,0.00,0.26
0.00,-0.01,0.25
0.01,0.01,0.31
0.00,0.00,0.14
0.01,0.00,0.19
0.00,0.00,0.23
0.01,-0.01,0.21
0.01,0.00,0.19
0.03,0.02,0.24
0.00,0.01,0.25
0.01,0.00,0.27
0.01,0.00,0.25
0.00,0.00,0.28
0.01,0.00,0.25
0.01,0.01,0.27
0.02,0.00,0.22
0.01,0.00,0.19
-0.01,-0.02,0.12
0.01,0.00,0.16
0.01,0.00,0.13
0.00,0.00,0.23
0.00,-0.0